# Grammatical Features
#Locale	ID	Feature	Usage	Values
Romanian	ro	grammaticalCase	general	nominative, genitive
Romanian	ro	grammaticalDefiniteness	general	indefinite, definite
Romanian	ro	grammaticalGender	general	masculine, feminine, neuter

# Minimal Pairs
#Type	Code	Pattern	Formatted Sample
Plural	one	{0} zi	<div class='cldr_example'><span class='cldr_substituted'>1</span> zi</div><div class='cldr_example'>❌  <span class='cldr_substituted'>20</span> zi</div>
Plural	few	{0} zile	<div class='cldr_example'><span class='cldr_substituted'>2</span> zile</div><div class='cldr_example'>❌  <span class='cldr_substituted'>20</span> zile</div>
Plural	other	{0} de zile	<div class='cldr_example'><span class='cldr_substituted'>20</span> de zile</div><div class='cldr_example'>❌  <span class='cldr_substituted'>2</span> de zile</div>
Case (for measurement units)	nominative	{0} este/sunt …	<div class='cldr_example'><span class='cldr_substituted'>2 centimetri</span> este/sunt …</div><div class='cldr_example'>❌  <span class='cldr_substituted'>unui centimetru</span> este/sunt …</div>
Case (for measurement units)	genitive	… ale (celor) {0} …	<div class='cldr_example'>… ale (celor) <span class='cldr_substituted'>unui centimetru</span> …</div><div class='cldr_example'>❌  … ale (celor) <span class='cldr_substituted'>2 centimetri</span> …</div>
Gender (for measurement units)	masculine	Un {0} costă 5 €, doi costă 9 €.	<div class='cldr_example'>Un <span class='cldr_substituted'>centimetru</span> costă 5 €, doi costă 9 €.</div><div class='cldr_example'>❌  Un <span class='cldr_substituted'>zi</span> costă 5 €, doi costă 9 €.</div>
Gender (for measurement units)	feminine	O {0} costă 5 €.	<div class='cldr_example'>O <span class='cldr_substituted'>zi</span> costă 5 €.</div><div class='cldr_example'>❌  O <span class='cldr_substituted'>centimetru</span> costă 5 €.</div>
Gender (for measurement units)	neuter	Un {0} costă 5 €, două costă 9 €.	<div class='cldr_example'>Un <span class='cldr_substituted'>secol</span> costă 5 €, două costă 9 €.</div><div class='cldr_example'>❌  Un <span class='cldr_substituted'>zi</span> costă 5 €, două costă 9 €.</div>

# Unit Case and Gender Info
#Quantity	Unit	Gender	Gender MP + unit	Case	Pattern for one	Case MP + pattern with 1.0	Pattern for few	Case MP + pattern with 2.0	Pattern for other	Case MP + pattern with 21.0
length	picometers	masculine	Un picometru costă 5 €, doi costă 9 €.	nominative	{0} picometru	1 picometru este/sunt …	{0} picometri	2 picometri este/sunt …	{0} de picometri	21 de picometri este/sunt …
length	picometers	masculine	Un picometru costă 5 €, doi costă 9 €.	genitive	unui picometru	… ale (celor) unui picometru …	{0} picometri	… ale (celor) 2 picometri …	{0} de picometri	… ale (celor) 21 de picometri …
length	nanometers	masculine	Un nanometru costă 5 €, doi costă 9 €.	nominative	{0} nanometru	1 nanometru este/sunt …	{0} nanometri	2 nanometri este/sunt …	{0} de nanometri	21 de nanometri este/sunt …
length	nanometers	masculine	Un nanometru costă 5 €, doi costă 9 €.	genitive	unui nanometru	… ale (celor) unui nanometru …	{0} nanometri	… ale (celor) 2 nanometri …	{0} de nanometri	… ale (celor) 21 de nanometri …
length	micrometers	masculine	Un micrometru costă 5 €, doi costă 9 €.	nominative	{0} micrometru	1 micrometru este/sunt …	{0} micrometri	2 micrometri este/sunt …	{0} de micrometri	21 de micrometri este/sunt …
length	micrometers	masculine	Un micrometru costă 5 €, doi costă 9 €.	genitive	unui micrometru	… ale (celor) unui micrometru …	{0} micrometri	… ale (celor) 2 micrometri …	{0} de micrometri	… ale (celor) 21 de micrometri …
length	millimeters	masculine	Un milimetru costă 5 €, doi costă 9 €.	nominative	{0} milimetru	1 milimetru este/sunt …	{0} milimetri	2 milimetri este/sunt …	{0} de milimetri	21 de milimetri este/sunt …
length	millimeters	masculine	Un milimetru costă 5 €, doi costă 9 €.	genitive	unui milimetru	… ale (celor) unui milimetru …	{0} milimetri	… ale (celor) 2 milimetri …	{0} de milimetri	… ale (celor) 21 de milimetri …
length	centimeters	masculine	Un centimetru costă 5 €, doi costă 9 €.	nominative	{0} centimetru	1 centimetru este/sunt …	{0} centimetri	2 centimetri este/sunt …	{0} de centimetri	21 de centimetri este/sunt …
length	centimeters	masculine	Un centimetru costă 5 €, doi costă 9 €.	genitive	unui centimetru	… ale (celor) unui centimetru …	{0} centimetri	… ale (celor) 2 centimetri …	{0} de centimetri	… ale (celor) 21 de centimetri …
length	decimeters	masculine	Un decimetru costă 5 €, doi costă 9 €.	nominative	{0} decimetru	1 decimetru este/sunt …	{0} decimetri	2 decimetri este/sunt …	{0} de decimetri	21 de decimetri este/sunt …
length	decimeters	masculine	Un decimetru costă 5 €, doi costă 9 €.	genitive	unui decimetru	… ale (celor) unui decimetru …	{0} decimetri	… ale (celor) 2 decimetri …	{0} de decimetri	… ale (celor) 21 de decimetri …
length	meters	masculine	Un metru costă 5 €, doi costă 9 €.	nominative	{0} metru	1 metru este/sunt …	{0} metri	2 metri este/sunt …	{0} de metri	21 de metri este/sunt …
length	meters	masculine	Un metru costă 5 €, doi costă 9 €.	genitive	unui metru	… ale (celor) unui metru …	{0} metri	… ale (celor) 2 metri …	{0} de metri	… ale (celor) 21 de metri …
length	kilometers	masculine	Un kilometru costă 5 €, doi costă 9 €.	nominative	{0} kilometru	1 kilometru este/sunt …	{0} kilometri	2 kilometri este/sunt …	{0} de kilometri	21 de kilometri este/sunt …
length	kilometers	masculine	Un kilometru costă 5 €, doi costă 9 €.	genitive	unui kilometru	… ale (celor) unui kilometru …	{0} kilometri	… ale (celor) 2 kilometri …	{0} de kilometri	… ale (celor) 21 de kilometri …
length	mile-scandinavian • ( = 10 km)	feminine	O milă scandinavă costă 5 €.	nominative	{0} milă scandinavă	1 milă scandinavă este/sunt …	{0} mile scandinave	2 mile scandinave este/sunt …	{0} de mile scandinave	21 de mile scandinave este/sunt …
length	mile-scandinavian • ( = 10 km)	feminine	O milă scandinavă costă 5 €.	genitive	unei mile scandinave	… ale (celor) unei mile scandinave …	{0} mile scandinave	… ale (celor) 2 mile scandinave …	{0} de mile scandinave	… ale (celor) 21 de mile scandinave …
luminous-flux	lumen	masculine	Un lumen costă 5 €, doi costă 9 €.	nominative	{0} lumen	1 lumen este/sunt …	{0} lumeni	2 lumeni este/sunt …	{0} de lumeni	21 de lumeni este/sunt …
luminous-flux	lumen	masculine	Un lumen costă 5 €, doi costă 9 €.	genitive	unui lumen	… ale (celor) unui lumen …	{0} lumeni	… ale (celor) 2 lumeni …	{0} de lumeni	… ale (celor) 21 de lumeni …
luminous-intensity	candela	feminine	O candelă costă 5 €.	nominative	{0} candelă	1 candelă este/sunt …	{0} candele	2 candele este/sunt …	{0} de candele	21 de candele este/sunt …
luminous-intensity	candela	feminine	O candelă costă 5 €.	genitive	unei candele	… ale (celor) unei candele …	{0} candele	… ale (celor) 2 candele …	{0} de candele	… ale (celor) 21 de candele …
mass	micrograms	neuter	Un microgram costă 5 €, două costă 9 €.	nominative	{0} microgram	1 microgram este/sunt …	{0} micrograme	2 micrograme este/sunt …	{0} de micrograme	21 de micrograme este/sunt …
mass	micrograms	neuter	Un microgram costă 5 €, două costă 9 €.	genitive	unui microgram	… ale (celor) unui microgram …	{0} micrograme	… ale (celor) 2 micrograme …	{0} de micrograme	… ale (celor) 21 de micrograme …
mass	milligrams	neuter	Un miligram costă 5 €, două costă 9 €.	nominative	{0} miligram	1 miligram este/sunt …	{0} miligrame	2 miligrame este/sunt …	{0} de miligrame	21 de miligrame este/sunt …
mass	milligrams	neuter	Un miligram costă 5 €, două costă 9 €.	genitive	unui miligram	… ale (celor) unui miligram …	{0} miligrame	… ale (celor) 2 miligrame …	{0} de miligrame	… ale (celor) 21 de miligrame …
mass	carat • ( = 200 mg)	neuter	Un carat costă 5 €, două costă 9 €.	nominative	{0} carat	1 carat este/sunt …	{0} carate	2 carate este/sunt …	{0} de carate	21 de carate este/sunt …
mass	carat • ( = 200 mg)	neuter	Un carat costă 5 €, două costă 9 €.	genitive	{0} carat	… ale (celor) 1 carat …	{0} carate	… ale (celor) 2 carate …	{0} de carate	… ale (celor) 21 de carate …
mass	grams	neuter	Un gram costă 5 €, două costă 9 €.	nominative	{0} gram	1 gram este/sunt …	{0} grame	2 grame este/sunt …	{0} de grame	21 de grame este/sunt …
mass	grams	neuter	Un gram costă 5 €, două costă 9 €.	genitive	{0} gram	… ale (celor) 1 gram …	{0} grame	… ale (celor) 2 grame …	{0} de grame	… ale (celor) 21 de grame …
mass	kilograms	neuter	Un kilogram costă 5 €, două costă 9 €.	nominative	{0} kilogram	1 kilogram este/sunt …	{0} kilograme	2 kilograme este/sunt …	{0} de kilograme	21 de kilograme este/sunt …
mass	kilograms	neuter	Un kilogram costă 5 €, două costă 9 €.	genitive	{0} kilogram	… ale (celor) 1 kilogram …	{0} kilograme	… ale (celor) 2 kilograme …	{0} de kilograme	… ale (celor) 21 de kilograme …
mass	metric tons	feminine	O tonă costă 5 €.	nominative	{0} tonă	1 tonă este/sunt …	{0} tone	2 tone este/sunt …	{0} de tone	21 de tone este/sunt …
mass	metric tons	feminine	O tonă costă 5 €.	genitive	{0} tonă	… ale (celor) 1 tonă …	{0} tone	… ale (celor) 2 tone …	{0} de tone	… ale (celor) 21 de tone …
portion	parts per million	feminine	O parte pe milion costă 5 €.	nominative	{0} parte pe milion	1 parte pe milion este/sunt …	{0} părți pe milion	2 părți pe milion este/sunt …	{0} de părți pe milion	21 de părți pe milion este/sunt …
portion	parts per million	feminine	O parte pe milion costă 5 €.	genitive	unei părți pe milion	… ale (celor) unei părți pe milion …	{0} părți pe milion	… ale (celor) 2 părți pe milion …	{0} de părți pe milion	… ale (celor) 21 de părți pe milion …
portion	permyriad	feminine	O la zece mii costă 5 €.	nominative	{0} la zece mii	1 la zece mii este/sunt …	{0} la zece mii	2 la zece mii este/sunt …	{0} la zece mii	21 la zece mii este/sunt …
portion	permyriad	feminine	O la zece mii costă 5 €.	genitive	unei părți la zece mii	… ale (celor) unei părți la zece mii …	{0} părți la zece mii	… ale (celor) 2 părți la zece mii …	{0} de părți la zece mii	… ale (celor) 21 de părți la zece mii …
portion	permille	feminine	O promilă costă 5 €.	nominative	{0} promilă	1 promilă este/sunt …	{0} promile	2 promile este/sunt …	{0} de promile	21 de promile este/sunt …
portion	permille	feminine	O promilă costă 5 €.	genitive	unei promile	… ale (celor) unei promile …	{0} promile	… ale (celor) 2 promile …	{0} de promile	… ale (celor) 21 de promile …
portion	percent	neuter	Un procent costă 5 €, două costă 9 €.	nominative	{0} procent	1 procent este/sunt …	{0} procente	2 procente este/sunt …	{0} de procente	21 de procente este/sunt …
portion	percent	neuter	Un procent costă 5 €, două costă 9 €.	genitive	unui procent	… ale (celor) unui procent …	{0} procente	… ale (celor) 2 procente …	{0} de procente	… ale (celor) 21 de procente …
portion	karat • ( = 4.1˙6%)	neuter	Un carat costă 5 €, două costă 9 €.	nominative	{0} carat	1 carat este/sunt …	{0} carate	2 carate este/sunt …	{0} de carate	21 de carate este/sunt …
portion	karat • ( = 4.1˙6%)	neuter	Un carat costă 5 €, două costă 9 €.	genitive	unui carat	… ale (celor) unui carat …	{0} carate	… ale (celor) 2 carate …	{0} de carate	… ale (celor) 21 de carate …
power	milliwatts	masculine	Un miliwatt costă 5 €, doi costă 9 €.	nominative	{0} miliwatt	1 miliwatt este/sunt …	{0} miliwați	2 miliwați este/sunt …	{0} de miliwați	21 de miliwați este/sunt …
power	milliwatts	masculine	Un miliwatt costă 5 €, doi costă 9 €.	genitive	unui miliwatt	… ale (celor) unui miliwatt …	{0} miliwați	… ale (celor) 2 miliwați …	{0} de miliwați	… ale (celor) 21 de miliwați …
power	watts	masculine	Un watt costă 5 €, doi costă 9 €.	nominative	{0} watt	1 watt este/sunt …	{0} wați	2 wați este/sunt …	{0} de wați	21 de wați este/sunt …
power	watts	masculine	Un watt costă 5 €, doi costă 9 €.	genitive	unui watt	… ale (celor) unui watt …	{0} wați	… ale (celor) 2 wați …	{0} de wați	… ale (celor) 21 de wați …
power	kilowatts	masculine	Un kilowatt costă 5 €, doi costă 9 €.	nominative	{0} kilowatt	1 kilowatt este/sunt …	{0} kilowați	2 kilowați este/sunt …	{0} de kilowați	21 de kilowați este/sunt …
power	kilowatts	masculine	Un kilowatt costă 5 €, doi costă 9 €.	genitive	unui kilowatt	… ale (celor) unui kilowatt …	{0} kilowați	… ale (celor) 2 kilowați …	{0} de kilowați	… ale (celor) 21 de kilowați …
power	megawatts	masculine	Un megawatt costă 5 €, doi costă 9 €.	nominative	{0} megawatt	1 megawatt este/sunt …	{0} megawați	2 megawați este/sunt …	{0} de megawați	21 de megawați este/sunt …
power	megawatts	masculine	Un megawatt costă 5 €, doi costă 9 €.	genitive	unui megawatt	… ale (celor) unui megawatt …	{0} megawați	… ale (celor) 2 megawați …	{0} de megawați	… ale (celor) 21 de megawați …
power	gigawatts	masculine	Un gigawatt costă 5 €, doi costă 9 €.	nominative	{0} gigawatt	1 gigawatt este/sunt …	{0} gigawați	2 gigawați este/sunt …	{0} de gigawați	21 de gigawați este/sunt …
power	gigawatts	masculine	Un gigawatt costă 5 €, doi costă 9 €.	genitive	unui gigawatt	… ale (celor) unui gigawatt …	{0} gigawați	… ale (celor) 2 gigawați …	{0} de gigawați	… ale (celor) 21 de gigawați …
pressure	pascals	masculine	Un pascal costă 5 €, doi costă 9 €.	nominative	{0} pascal	1 pascal este/sunt …	{0} pascali	2 pascali este/sunt …	{0} de pascali	21 de pascali este/sunt …
pressure	pascals	masculine	Un pascal costă 5 €, doi costă 9 €.	genitive	unui pascal	… ale (celor) unui pascal …	{0} pascali	… ale (celor) 2 pascali …	{0} de pascali	… ale (celor) 21 de pascali …
pressure	hectopascal • ( = 1 mbar)	masculine	Un hectopascal costă 5 €, doi costă 9 €.	nominative	{0} hectopascal	1 hectopascal este/sunt …	{0} hectopascali	2 hectopascali este/sunt …	{0} de hectopascali	21 de hectopascali este/sunt …
pressure	hectopascal • ( = 1 mbar)	masculine	Un hectopascal costă 5 €, doi costă 9 €.	genitive	unui hectopascal	… ale (celor) unui hectopascal …	{0} hectopascali	… ale (celor) 2 hectopascali …	{0} de hectopascali	… ale (celor) 21 de hectopascali …
pressure	millibars	masculine	Un milibar costă 5 €, doi costă 9 €.	nominative	{0} milibar	1 milibar este/sunt …	{0} milibari	2 milibari este/sunt …	{0} de milibari	21 de milibari este/sunt …
pressure	millibars	masculine	Un milibar costă 5 €, doi costă 9 €.	genitive	unui milibar	… ale (celor) unui milibar …	{0} milibari	… ale (celor) 2 milibari …	{0} de milibari	… ale (celor) 21 de milibari …
pressure	kilopascals	masculine	Un kilopascal costă 5 €, doi costă 9 €.	nominative	{0} kilopascal	1 kilopascal este/sunt …	{0} kilopascali	2 kilopascali este/sunt …	{0} de kilopascali	21 de kilopascali este/sunt …
pressure	kilopascals	masculine	Un kilopascal costă 5 €, doi costă 9 €.	genitive	unui kilopascal	… ale (celor) unui kilopascal …	{0} kilopascali	… ale (celor) 2 kilopascali …	{0} de kilopascali	… ale (celor) 21 de kilopascali …
pressure	bars	masculine	Un bar costă 5 €, doi costă 9 €.	nominative	{0} bar	1 bar este/sunt …	{0} bari	2 bari este/sunt …	{0} de bari	21 de bari este/sunt …
pressure	bars	masculine	Un bar costă 5 €, doi costă 9 €.	genitive	unui bar	… ale (celor) unui bar …	{0} bari	… ale (celor) 2 bari …	{0} de bari	… ale (celor) 21 de bari …
pressure	atmosphere • ( = 1.01325 bar)	feminine	O atmosferă costă 5 €.	nominative	{0} atmosferă	1 atmosferă este/sunt …	{0} atmosfere	2 atmosfere este/sunt …	{0} de atmosfere	21 de atmosfere este/sunt …
pressure	atmosphere • ( = 1.01325 bar)	feminine	O atmosferă costă 5 €.	genitive	unei atmosfere	… ale (celor) unei atmosfere …	{0} atmosfere	… ale (celor) 2 atmosfere …	{0} de atmosfere	… ale (celor) 21 de atmosfere …
pressure	megapascals	masculine	Un megapascal costă 5 €, doi costă 9 €.	nominative	{0} megapascal	1 megapascal este/sunt …	{0} megapascali	2 megapascali este/sunt …	{0} de megapascali	21 de megapascali este/sunt …
pressure	megapascals	masculine	Un megapascal costă 5 €, doi costă 9 €.	genitive	unui megapascal	… ale (celor) unui megapascal …	{0} megapascali	… ale (celor) 2 megapascali …	{0} de megapascali	… ale (celor) 21 de megapascali …
resolution	pixel-per-centimeter • ( = 1 dpcm)	masculine	Un pixel pe centimetru costă 5 €, doi costă 9 €.	nominative	{0} pixel pe centimetru	1 pixel pe centimetru este/sunt …	{0} pixeli pe centimetru	2 pixeli pe centimetru este/sunt …	{0} de pixeli pe centimetru	21 de pixeli pe centimetru este/sunt …
resolution	pixel-per-centimeter • ( = 1 dpcm)	masculine	Un pixel pe centimetru costă 5 €, doi costă 9 €.	genitive	unui pixel pe centimetru	… ale (celor) unui pixel pe centimetru …	{0} pixeli pe centimetru	… ale (celor) 2 pixeli pe centimetru …	{0} de pixeli pe centimetru	… ale (celor) 21 de pixeli pe centimetru …
speed	kilometer-per-hour • ( = 0.2˙7 m/s)	masculine	Un kilometru pe oră costă 5 €, doi costă 9 €.	nominative	{0} kilometru pe oră	1 kilometru pe oră este/sunt …	{0} kilometri pe oră	2 kilometri pe oră este/sunt …	{0} de kilometri pe oră	21 de kilometri pe oră este/sunt …
speed	kilometer-per-hour • ( = 0.2˙7 m/s)	masculine	Un kilometru pe oră costă 5 €, doi costă 9 €.	genitive	unui kilometru pe oră	… ale (celor) unui kilometru pe oră …	{0} kilometri pe oră	… ale (celor) 2 kilometri pe oră …	{0} de kilometri pe oră	… ale (celor) 21 de kilometri pe oră …
speed	meters per second	masculine	Un metru pe secundă costă 5 €, doi costă 9 €.	nominative	{0} metru pe secundă	1 metru pe secundă este/sunt …	{0} metri pe secundă	2 metri pe secundă este/sunt …	{0} de metri pe secundă	21 de metri pe secundă este/sunt …
speed	meters per second	masculine	Un metru pe secundă costă 5 €, doi costă 9 €.	genitive	unui metru pe secundă	… ale (celor) unui metru pe secundă …	{0} metri pe secundă	… ale (celor) 2 metri pe secundă …	{0} de metri pe secundă	… ale (celor) 21 de metri pe secundă …
substance-amount	items	masculine	Un de itemi costă 5 €, doi costă 9 €.	nominative	{0} de itemi	1 de itemi este/sunt …	{0} itemi	2 itemi este/sunt …	{0} itemi	21 itemi este/sunt …
substance-amount	items	masculine	Un de itemi costă 5 €, doi costă 9 €.	genitive	unui item	… ale (celor) unui item …	{0} itemi	… ale (celor) 2 itemi …	{0} de itemi	… ale (celor) 21 de itemi …
substance-amount	mole • ( = 602,214,076,000,000,000,000,000 items)	masculine	Un mol costă 5 €, doi costă 9 €.	nominative	{0} mol	1 mol este/sunt …	{0} moli	2 moli este/sunt …	{0} de moli	21 de moli este/sunt …
substance-amount	mole • ( = 602,214,076,000,000,000,000,000 items)	masculine	Un mol costă 5 €, doi costă 9 €.	genitive	unui mol	… ale (celor) unui mol …	{0} moli	… ale (celor) 2 moli …	{0} de moli	… ale (celor) 21 de moli …
temperature	°	neuter	Un grad costă 5 €, două costă 9 €.	nominative	{0} grad	1 grad este/sunt …	{0} grade	2 grade este/sunt …	{0} de grade	21 de grade este/sunt …
temperature	°	neuter	Un grad costă 5 €, două costă 9 €.	genitive	unui grad	… ale (celor) unui grad …	{0} grade	… ale (celor) 2 grade …	{0} de grade	… ale (celor) 21 de grade …
temperature	celsius • ( = 1 K)	neuter	Un grad Celsius costă 5 €, două costă 9 €.	nominative	{0} grad Celsius	1 grad Celsius este/sunt …	{0} grade Celsius	2 grade Celsius este/sunt …	{0} de grade Celsius	21 de grade Celsius este/sunt …
temperature	celsius • ( = 1 K)	neuter	Un grad Celsius costă 5 €, două costă 9 €.	genitive	unui grad Celsius	… ale (celor) unui grad Celsius …	{0} grade Celsius	… ale (celor) 2 grade Celsius …	{0} de grade Celsius	… ale (celor) 21 de grade Celsius …
temperature	kelvins	masculine	Un kelvin costă 5 €, doi costă 9 €.	nominative	{0} kelvin	1 kelvin este/sunt …	{0} kelvini	2 kelvini este/sunt …	{0} de kelvini	21 de kelvini este/sunt …
temperature	kelvins	masculine	Un kelvin costă 5 €, doi costă 9 €.	genitive	unui kelvin	… ale (celor) unui kelvin …	{0} kelvini	… ale (celor) 2 kelvini …	{0} de kelvini	… ale (celor) 21 de kelvini …
typewidth	typographic ems	masculine	Un em costă 5 €, doi costă 9 €.	nominative	{0} em	1 em este/sunt …	{0} em	2 em este/sunt …	{0} em	21 em este/sunt …
typewidth	typographic ems	masculine	Un em costă 5 €, doi costă 9 €.	genitive	{0} em	… ale (celor) 1 em …	{0} em	… ale (celor) 2 em …	{0} em	… ale (celor) 21 em …
voltage	volts	masculine	Un volt costă 5 €, doi costă 9 €.	nominative	{0} volt	1 volt este/sunt …	{0} volți	2 volți este/sunt …	{0} de volți	21 de volți este/sunt …
voltage	volts	masculine	Un volt costă 5 €, doi costă 9 €.	genitive	unui volt	… ale (celor) unui volt …	{0} volți	… ale (celor) 2 volți …	{0} de volți	… ale (celor) 21 de volți …
volume	cubic-centimeter • ( = 1 mL)	masculine	Un centimetru cub costă 5 €, doi costă 9 €.	nominative	{0} centimetru cub	1 centimetru cub este/sunt …	{0} centimetri cubi	2 centimetri cubi este/sunt …	{0} de centimetri cubi	21 de centimetri cubi este/sunt …
volume	cubic-centimeter • ( = 1 mL)	masculine	Un centimetru cub costă 5 €, doi costă 9 €.	genitive	unui centimetru cub	… ale (celor) unui centimetru cub …	{0} centimetri cubi	… ale (celor) 2 centimetri cubi …	{0} de centimetri cubi	… ale (celor) 21 de centimetri cubi …
volume	milliliters	masculine	Un mililitru costă 5 €, doi costă 9 €.	nominative	{0} mililitru	1 mililitru este/sunt …	{0} mililitri	2 mililitri este/sunt …	{0} de mililitri	21 de mililitri este/sunt …
volume	milliliters	masculine	Un mililitru costă 5 €, doi costă 9 €.	genitive	unui mililitru	… ale (celor) unui mililitru …	{0} mililitri	… ale (celor) 2 mililitri …	{0} de mililitri	… ale (celor) 21 de mililitri …
volume	centiliters	masculine	Un centilitru costă 5 €, doi costă 9 €.	nominative	{0} centilitru	1 centilitru este/sunt …	{0} centilitri	2 centilitri este/sunt …	{0} de centilitri	21 de centilitri este/sunt …
volume	centiliters	masculine	Un centilitru costă 5 €, doi costă 9 €.	genitive	unui centilitru	… ale (celor) unui centilitru …	{0} centilitri	… ale (celor) 2 centilitri …	{0} de centilitri	… ale (celor) 21 de centilitri …
volume	deciliters	masculine	Un decilitru costă 5 €, doi costă 9 €.	nominative	{0} decilitru	1 decilitru este/sunt …	{0} decilitri	2 decilitri este/sunt …	{0} de decilitri	21 de decilitri este/sunt …
volume	deciliters	masculine	Un decilitru costă 5 €, doi costă 9 €.	genitive	unui decilitru	… ale (celor) unui decilitru …	{0} decilitri	… ale (celor) 2 decilitri …	{0} de decilitri	… ale (celor) 21 de decilitri …
volume	cup-metric • ( = 2.5 dL)	feminine	O cană metrică costă 5 €.	nominative	{0} cană metrică	1 cană metrică este/sunt …	{0} căni metrice	2 căni metrice este/sunt …	{0} de căni metrice	21 de căni metrice este/sunt …
volume	cup-metric • ( = 2.5 dL)	feminine	O cană metrică costă 5 €.	genitive	unei căni metrice	… ale (celor) unei căni metrice …	{0} căni metrice	… ale (celor) 2 căni metrice …	{0} de căni metrice	… ale (celor) 21 de căni metrice …
volume	pint-metric • ( = 5 dL)	feminine	O pintă metrică costă 5 €.	nominative	{0} pintă metrică	1 pintă metrică este/sunt …	{0} pinte metrice	2 pinte metrice este/sunt …	{0} de pinte metrice	21 de pinte metrice este/sunt …
volume	pint-metric • ( = 5 dL)	feminine	O pintă metrică costă 5 €.	genitive	unei pinte metrice	… ale (celor) unei pinte metrice …	{0} pinte metrice	… ale (celor) 2 pinte metrice …	{0} de pinte metrice	… ale (celor) 21 de pinte metrice …
volume	liters	masculine	Un litru costă 5 €, doi costă 9 €.	nominative	{0} litru	1 litru este/sunt …	{0} litri	2 litri este/sunt …	{0} de litri	21 de litri este/sunt …
volume	liters	masculine	Un litru costă 5 €, doi costă 9 €.	genitive	unui litru	… ale (celor) unui litru …	{0} litri	… ale (celor) 2 litri …	{0} de litri	… ale (celor) 21 de litri …
volume	hectoliters	masculine	Un hectolitru costă 5 €, doi costă 9 €.	nominative	{0} hectolitru	1 hectolitru este/sunt …	{0} hectolitri	2 hectolitri este/sunt …	{0} de hectolitri	21 de hectolitri este/sunt …
volume	hectoliters	masculine	Un hectolitru costă 5 €, doi costă 9 €.	genitive	unui hectolitru	… ale (celor) unui hectolitru …	{0} hectolitri	… ale (celor) 2 hectolitri …	{0} de hectolitri	… ale (celor) 21 de hectolitri …
volume	cubic meters	masculine	Un metru cub costă 5 €, doi costă 9 €.	nominative	{0} metru cub	1 metru cub este/sunt …	{0} metri cubi	2 metri cubi este/sunt …	{0} de metri cubi	21 de metri cubi este/sunt …
volume	cubic meters	masculine	Un metru cub costă 5 €, doi costă 9 €.	genitive	unui metru cub	… ale (celor) unui metru cub …	{0} metri cubi	… ale (celor) 2 metri cubi …	{0} de metri cubi	… ale (celor) 21 de metri cubi …
volume	megaliters	masculine	Un megalitru costă 5 €, doi costă 9 €.	nominative	{0} megalitru	1 megalitru este/sunt …	{0} megalitri	2 megalitri este/sunt …	{0} megalitri	21 megalitri este/sunt …
volume	megaliters	masculine	Un megalitru costă 5 €, doi costă 9 €.	genitive	unui megalitru	… ale (celor) unui megalitru …	{0} megalitri	… ale (celor) 2 megalitri …	{0} megalitri	… ale (celor) 21 megalitri …
volume	cubic kilometers	masculine	Un kilometru cub costă 5 €, doi costă 9 €.	nominative	{0} kilometru cub	1 kilometru cub este/sunt …	{0} kilometri cubi	2 kilometri cubi este/sunt …	{0} de kilometri cubi	21 de kilometri cubi este/sunt …
volume	cubic kilometers	masculine	Un kilometru cub costă 5 €, doi costă 9 €.	genitive	unui kilometru cub	… ale (celor) unui kilometru cub …	{0} kilometri cubi	… ale (celor) 2 kilometri cubi …	{0} de kilometri cubi	… ale (celor) 21 de kilometri cubi …
year-duration	month • ( = 0.08˙3 yrs)	feminine	O lună costă 5 €.	nominative	{0} lună	1 lună este/sunt …	{0} luni	2 luni este/sunt …	{0} de luni	21 de luni este/sunt …
year-duration	month • ( = 0.08˙3 yrs)	feminine	O lună costă 5 €.	genitive	unei luni	… ale (celor) unei luni …	{0} luni	… ale (celor) 2 luni …	{0} de luni	… ale (celor) 21 de luni …
year-duration	years	masculine	Un an costă 5 €, doi costă 9 €.	nominative	{0} an	1 an este/sunt …	{0} ani	2 ani este/sunt …	{0} de ani	21 de ani este/sunt …
year-duration	years	masculine	Un an costă 5 €, doi costă 9 €.	genitive	unui an	… ale (celor) unui an …	{0} ani	… ale (celor) 2 ani …	{0} de ani	… ale (celor) 21 de ani …
year-duration	decades	neuter	Un deceniu costă 5 €, două costă 9 €.	nominative	{0} deceniu	1 deceniu este/sunt …	{0} decenii	2 decenii este/sunt …	{0} de decenii	21 de decenii este/sunt …
year-duration	decades	neuter	Un deceniu costă 5 €, două costă 9 €.	genitive	unui deceniu	… ale (celor) unui deceniu …	{0} decenii	… ale (celor) 2 decenii …	{0} de decenii	… ale (celor) 21 de decenii …
year-duration	centuries	neuter	Un secol costă 5 €, două costă 9 €.	nominative	{0} secol	1 secol este/sunt …	{0} secole	2 secole este/sunt …	{0} de secole	21 de secole este/sunt …
year-duration	centuries	neuter	Un secol costă 5 €, două costă 9 €.	genitive	unui secol	… ale (celor) unui secol …	{0} secole	… ale (celor) 2 secole …	{0} de secole	… ale (celor) 21 de secole …

# Unit Power Components
#Unit	Case	Gender	Pattern for one	Case MP + pattern with 1.0	Pattern for few	Case MP + pattern with 2.0	Pattern for other	Case MP + pattern with 21.0
power2	nominative	masculine • (meter)	{0} pătrat	1 metru pătrat este/sunt …	{0} pătrați	2 metri pătrați este/sunt …	{0} pătrați	21 de metri pătrați este/sunt …
